campus,entity,meii_burden,gap_risk,mean_burden_rank,median_burden_rank,n_wos,r_L1,r_L2,r_L3,r_L4x,r_L5r,meii_b_obs_wo,meii_b_floor_wo,meii_b_sig_wo,gap_obs_wo,gap_floor_wo,gap_sig_wo,meii_b_obs_year_block,meii_b_floor_year_block,meii_b_sig_year_block,gap_obs_year_block,gap_floor_year_block,gap_sig_year_block,topk_burden_count,profile
2,D20,0.0,0.0,0.9285714285714286,0.9285714285714286,15930,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.0,0.04123930494211617,False,0.0,0.0714285714285714,False,0.0,0.15838255590059608,False,0.0,0.2142857142857143,False,4,stable_aligned
2,D30,0.0,0.0,1.0,1.0,20015,1.0,1.0,1.0,1.0,1.0,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.2142857142857143,False,4,stable_aligned
2,D40,0.1071428571428571,0.2142857142857142,0.4107142857142857,0.3571428571428571,2033,0.3571428571428571,0.3571428571428571,0.5714285714285714,0.3571428571428571,0.5714285714285714,0.10714285714285712,0.0922138891954147,True,0.21428571428571425,0.3571428571428572,False,0.10714285714285712,0.1754367643226853,False,0.21428571428571425,0.42857142857142855,False,0,unstable_aligned
2,D50,0.0357142857142857,0.1428571428571428,0.8392857142857143,0.8571428571428571,9196,0.7857142857142857,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.7142857142857143,0.0357142857142857,0.1071428571428571,False,0.1428571428571428,0.75,False,0.0357142857142857,0.15430334996209188,False,0.1428571428571428,0.7857142857142857,False,3,stable_aligned
2,D90,0.1583825559005961,0.2857142857142857,0.4821428571428571,0.5,1105,0.5714285714285714,0.2857142857142857,0.4285714285714285,0.6428571428571429,0.7857142857142857,0.1583825559005961,0.13041013273932528,True,0.2857142857142857,0.3571428571428571,False,0.1583825559005961,0.20619652471058067,False,0.2857142857142857,0.3571428571428571,False,0,unstable_aligned
2,E10,0.0583211843519804,0.5,0.7857142857142857,0.7857142857142857,7677,0.8571428571428571,0.7857142857142857,0.7857142857142857,0.7142857142857143,0.2857142857142857,0.0583211843519804,0.0714285714285714,False,0.5,0.6428571428571428,False,0.0583211843519804,0.10101525445522103,False,0.5,0.6071428571428572,False,1,stable_divergent
2,E20,0.0898789813722708,0.3571428571428571,0.1607142857142857,0.1428571428571428,169,0.1428571428571428,0.1428571428571428,0.0714285714285714,0.2857142857142857,0.5,0.08987898137227084,0.0762852990686377,True,0.35714285714285715,0.5714285714285714,False,0.08987898137227084,0.13041013273932525,False,0.35714285714285715,0.6785714285714286,False,0,unstable_aligned
2,G20,0.0683876505540241,0.1785714285714286,0.1607142857142857,0.1785714285714285,279,0.0714285714285714,0.2142857142857142,0.2142857142857142,0.1428571428571428,0.3571428571428571,0.06838765055402414,0.06838765055402417,False,0.1785714285714286,0.32142857142857145,False,0.06838765055402414,0.1367753011080483,False,0.1785714285714286,0.46428571428571436,False,0,stable_aligned
4,B20,0.038490017945975,0.1666666666666666,0.2333333333333333,0.2333333333333333,3783,0.2,0.2666666666666666,0.2666666666666666,0.2,0.4,0.03849001794597504,0.033333333333333326,True,0.16666666666666669,0.36666666666666664,False,0.03849001794597504,0.07698003589195009,False,0.16666666666666669,0.36666666666666664,False,0,unstable_aligned
4,B30,0.038490017945975,0.2333333333333333,0.3666666666666666,0.3666666666666667,5024,0.4,0.3333333333333333,0.4,0.3333333333333333,0.1333333333333333,0.03849001794597508,0.06666666666666668,False,0.23333333333333336,0.30000000000000004,False,0.03849001794597508,0.06666666666666668,False,0.23333333333333336,0.30000000000000004,False,0,stable_aligned
4,C10,0.1217161238900369,0.1333333333333333,0.6666666666666666,0.6666666666666666,21834,0.6,0.8,0.7333333333333333,0.5333333333333333,0.5333333333333333,0.12171612389003693,0.06666666666666665,True,0.1333333333333333,0.5333333333333333,False,0.12171612389003693,0.09428090415820632,True,0.1333333333333333,0.5333333333333333,False,0,unstable_aligned
