campus,entity,L1,L2,L3,L3p,L4x,L4freq,L4sev,L5r,L5r_shrunk,L5mae,L5cv,mean_annual_cost,nonlabor_cost2021,labor_cost_coverage,n_wos,n_years_window,n_years_active,tau_campus,r_L1,r_L2,r_L3,r_L4x,r_L5r,r_L5r_shrunk,r_L5mae,r_L5cv,n_burden_ledgers,mean_burden_rank,median_burden_rank,meii_burden,gap_risk,L6star,r_L6star
2,D10,5145285.24216241,20324.340000000004,1038.8,0.7,4279230.171282304,0.06266846361185983,46013.22764819683,1000631.7085079671,899214.346398731,1029474.5433182745,1.091673095620084,1029057.048432482,3912560.5755397123,1.0,1484,5,5,3418.1667233832827,0.7142857142857143,0.6428571428571429,0.5,0.7857142857142857,0.8571428571428571,0.8571428571428571,0.7857142857142857,0.6428571428571429,4,0.6607142857142857,0.6785714285714286,0.12198750911856664,0.1785714285714285,4354947.517390792,0.7142857142857143
2,D20,13330707.236549936,112410.47,12744.0,0.8,5724173.811058318,0.04814814814814815,7463.068854052566,2161467.528780591,1624736.734069121,3505194.9700900246,1.0537404449504795,2666141.4473099867,6916316.704263976,1.0,15930,5,5,3418.1667233832827,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.5,4,0.9285714285714286,0.9285714285714286,0.0,0.0,9363083.686874116,0.9285714285714286
2,D30,20427220.52903137,178555.06,16012.0,0.8,9957933.300010515,0.052110916812390704,9547.395302023504,2676599.5173829156,1946694.226945574,4424012.026645057,0.8218055192645172,4085444.105806274,10063728.728704775,1.0,20015,5,5,3418.1667233832827,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.21428571428571427,4,1.0,1.0,0.0,0.0,13950222.801596494,1.0
2,D40,1148107.529899517,12518.260000000002,1423.1,0.7,661288.7824482599,0.014756517461878997,22042.959414942,739948.9245238195,736287.6064086386,130640.52781090797,1.118462408125278,229621.50597990336,500225.27503730205,1.0,2033,5,5,3418.1667233832827,0.35714285714285715,0.35714285714285715,0.5714285714285714,0.35714285714285715,0.5714285714285714,0.5714285714285714,0.14285714285714285,0.7857142857142857,4,0.4107142857142857,0.35714285714285715,0.10714285714285712,0.21428571428571425,772702.2538074221,0.35714285714285715
2,D50,7441940.306106905,81178.2,7356.8,0.8,4407688.404928596,0.025989560678555894,18442.21089928283,939666.8479037783,861111.3085211131,719547.175503441,0.7901646617300012,1488388.061221381,2925348.193604909,1.0,9196,5,5,3418.1667233832827,0.7857142857142857,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.7142857142857143,0.7142857142857143,0.6428571428571429,0.14285714285714285,4,0.8392857142857143,0.8571428571428571,0.0357142857142857,0.1428571428571428,4692302.281313309,0.7857142857142857
2,D90,3119450.1560746147,11454.67,828.75,0.75,2845770.0108336313,0.03800904977375565,67756.42882937219,939873.007138886,861240.1580430553,542339.1613246098,1.2304010173096767,623890.0312149229,2437532.792036124,1.0,1105,5,5,3418.1667233832827,0.5714285714285714,0.2857142857142857,0.42857142857142855,0.6428571428571429,0.7857142857142857,0.7857142857142857,0.5714285714285714,0.9285714285714286,4,0.4821428571428571,0.5,0.1583825559005961,0.2857142857142857,2686859.285846664,0.5714285714285714
2,E10,8155135.616734847,41253.72,6141.6,0.8,4275878.092093664,0.0612218314445747,9097.612961901414,572941.562835646,631908.0053535303,1288564.473997916,0.7272277532124576,1631027.12334697,5696552.898031184,1.0,7677,5,5,3418.1667233832827,0.8571428571428571,0.7857142857142857,0.7857142857142857,0.7142857142857143,0.2857142857142857,0.2857142857142857,0.8571428571428571,0.07142857142857142,4,0.7857142857142857,0.7857142857142857,0.0583211843519804,0.5,6594496.301397825,0.8571428571428571
2,E20,542774.7963814952,5681.969999999999,118.3,0.7,414367.97304797405,0.10059171597633136,24374.586649880832,720421.894576189,724083.2126913697,61166.692263277306,0.8604398297709019,108554.95927629904,208678.05422001745,1.0,169,5,5,3418.1667233832827,0.14285714285714285,0.14285714285714285,0.07142857142857142,0.2857142857142857,0.5,0.5,0.07142857142857142,0.35714285714285715,4,0.1607142857142857,0.14285714285714285,0.08987898137227084,0.35714285714285715,332353.87011315743,0.14285714285714285
2,G20,401600.30276023503,6954.94,167.4,0.6,251920.74975719818,0.08960573476702509,10076.829990287928,602757.7231372404,650543.1055420268,168395.40628732802,1.8551657024913815,80320.06055204701,46698.18015571903,1.0,279,5,4,3418.1667233832827,0.07142857142857142,0.21428571428571427,0.21428571428571427,0.14285714285714285,0.35714285714285715,0.35714285714285715,0.21428571428571427,1.0,4,0.1607142857142857,0.17857142857142855,0.06838765055402414,0.1785714285714286,198081.92188399902,0.07142857142857142
4,B20,680556.1282803727,2500.95,3783.0,1.0,363282.37893239106,0.03965107057890563,2421.8825262159403,96228.4937385659,98208.49741027744,53934.99950536254,0.32234229629260813,136111.22565607453,462890.5314073842,1.0,3783,5,5,796.4999999999999,0.2,0.26666666666666666,0.26666666666666666,0.2,0.4,0.4,0.26666666666666666,0.6666666666666666,4,0.23333333333333334,0.23333333333333334,0.03849001794597504,0.16666666666666669,534712.6134313842,0.26666666666666666
4,B30,1297789.3347778078,6627.4,5024.0,1.0,624599.6115541866,0.039211783439490444,3170.5564038283583,70216.23578299402,81950.83618804501,29962.03211320926,0.1570634124850253,259557.86695556162,729667.9159115457,1.0,5024,5,5,796.4999999999999,0.4,0.3333333333333333,0.4,0.3333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.2,4,0.36666666666666664,0.3666666666666667,0.03849001794597508,0.23333333333333336,919993.0589195457,0.3333333333333333
4,C10,2984965.981460362,60853.02,21834.0,1.0,839952.571380373,0.023816066684986717,1615.2934065007173,101508.5035297967,101508.5035297967,152130.5444649338,0.1986733422496243,596993.1962920725,933609.4385849626,1.0,21834,5,5,796.4999999999999,0.6,0.8,0.7333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.6,0.3333333333333333,4,0.6666666666666666,0.6666666666666666,0.12171612389003693,0.1333333333333333,2681181.5987033625,0.7333333333333333
4,C20,213280.35524412672,659.1500000000001,279.0,1.0,165142.23288559797,0.10752688172043011,5504.7410961866,87515.33776898343,92762.7749292884,35580.42076559348,0.7321710639889976,42656.071048825346,159394.02289773533,1.0,279,5,5,796.4999999999999,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3333333333333333,0.3333333333333333,0.2,1.0,4,0.13333333333333333,0.13333333333333333,0.0,0.19999999999999998,178323.43986573533,0.13333333333333333
4,C30,2939445.46446748,25388.140000000003,8289.0,1.0,1636269.1381520934,0.08710339003498613,2266.30074536301,75361.25501342834,85166.47320706648,138422.12831924346,0.20799368301238436,587889.0928934959,822320.8738758636,1.0,8289,5,5,796.4999999999999,0.5333333333333333,0.6,0.5333333333333333,0.6,0.2,0.2,0.4666666666666667,0.4,4,0.5666666666666667,0.5666666666666667,0.03849001794597504,0.36666666666666664,1551415.4473446636,0.6
4,D10,1026304.9271140776,1078.8700000000001,14414.0,1.0,647554.7566778131,0.012002220063826835,3743.0910790625035,100995.62722012908,101187.95583625443,106379.76299063598,0.6383890027987044,205260.98542281552,935821.2614021257,1.0,14414,5,5,796.4999999999999,0.3333333333333333,0.2,0.6666666666666666,0.4,0.4666666666666667,0.4666666666666667,0.4,0.9333333333333333,4,0.4,0.3666666666666667,0.19626135258506325,0.09999999999999998,966804.1637525257,0.4
4,D20,10695898.520560252,65565.44,47382.0,1.0,4029861.8972925497,0.0426533282681187,1993.9940115252598,501543.4852806586,351530.3671240854,536579.6218056249,0.2192494512104892,2139179.7041120506,4828388.367711725,1.0,47382,5,5,796.4999999999999,0.8666666666666667,0.9333333333333333,0.9333333333333333,0.8666666666666667,1.0,1.0,0.9333333333333333,0.4666666666666667,4,0.9,0.9,0.03849001794597504,0.09999999999999998,6711291.428396525,0.9333333333333333
4,D30,12833195.604978098,63226.12,34982.0,1.0,5868701.218877866,0.08052712823737922,2083.31601664106,333016.60406223265,246201.06636256917,386319.2984244907,0.15165005511275434,2566639.12099562,6854760.593290186,1.0,34982,5,5,796.4999999999999,1.0,0.8666666666666667,0.8666666666666667,1.0,0.8,0.8,0.8666666666666667,0.13333333333333333,4,0.9333333333333333,0.9333333333333333,0.07698003589195009,0.1333333333333333,8670483.249360586,1.0
4,D40,5322081.791434537,44465.270000000004,25279.0,1.0,2495348.1149974703,0.044186874480794336,2233.973245297646,105478.8568264078,103989.97434017864,159779.5042753671,0.13813354174119796,1064416.3582869074,1355722.6816807175,1.0,25279,5,5,796.4999999999999,0.8,0.7333333333333333,0.8,0.7333333333333333,0.6,0.6,0.6666666666666666,0.06666666666666667,4,0.7666666666666666,0.7666666666666666,0.038490017945975105,0.16666666666666663,2632672.7483191174,0.6666666666666666
4,D50,11723459.435645174,98617.08,54384.0,1.0,3862287.0675134356,0.04069211532803766,1745.2720594276707,392547.3239107117,283407.7662678686,552983.472839421,0.183458415049429,2344691.887129034,3084475.457541455,1.0,54384,5,5,796.4999999999999,0.9333333333333333,1.0,1.0,0.8,0.8666666666666667,0.8666666666666667,1.0,0.26666666666666666,4,0.9333333333333333,0.9666666666666667,0.09428090415820632,0.09999999999999998,5916552.871615055,0.8666666666666667
