campus,entity,L1,L1_2021,L2,L3,persistence,L4,L5,n_wos,n_years_active,tau_campus,r_L1,r_L2,r_L3,r_L4,r_L5,n_ledgers,mean_rank,meii,meii_iqr,L6
2,E10,7509446.34,8155135.616734847,41253.72,6141.6,0.8,5387592.31,0.7333501194363139,7677,5,3187.52,0.8571428571428571,0.7857142857142857,0.7857142857142857,0.8571428571428571,0.08333333333333333,5,0.6738095238095239,0.33201268997412564,0.0714285714285714,9221956.815934848
2,E20,494053.58999999997,542774.7963814952,5681.969999999999,118.3,0.7,429173.49,0.8344020301219127,169,5,3187.52,0.14285714285714285,0.14285714285714285,0.07142857142857142,0.21428571428571427,0.4166666666666667,5,0.19761904761904764,0.13245886710191548,0.07142857142857142,689710.5405814952
2,G20,373079.48,401600.30276023503,6954.94,167.4,0.6,309850.52999999997,,279,4,3187.52,0.07142857142857142,0.21428571428571427,0.21428571428571427,0.07142857142857142,,4,0.14285714285714285,0.08247860988423225,0.14285714285714285,581455.051160235
4,B20,632996.26,680556.1282803727,2500.95,3783.0,1.0,450099.67999999993,0.339758041573098,3783,5,735.0,0.2,0.26666666666666666,0.26666666666666666,0.2,0.6666666666666666,5,0.32,0.196638416050035,0.06666666666666665,763837.7632803727
4,B30,1199831.25,1297789.3347778078,6627.4,5024.0,1.0,722834.8299999998,0.15578434170811892,5024,5,735.0,0.4,0.3333333333333333,0.4,0.3333333333333333,0.2,5,0.3333333333333333,0.08164965809277261,0.06666666666666671,1518481.7547778077
4,C10,2763033.51,2984965.981460362,60853.02,21834.0,1.0,1160133.81,0.20631608707623655,21834,5,735.0,0.6,0.8,0.7333333333333333,0.5333333333333333,0.4,5,0.6133333333333333,0.1591644851508443,0.19999999999999996,5011371.547460362
4,C20,194872.28,213280.35524412672,659.1500000000001,279.0,1.0,172350.31,0.7187916630829392,279,5,735.0,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,1.0,5,0.30666666666666664,0.38758511609996354,0.0,235230.05024412673
4,C30,2715724.34,2939445.46446748,25388.140000000003,8289.0,1.0,2043525.0999999999,0.20314819143347512,8289,5,735.0,0.5333333333333333,0.6,0.5333333333333333,0.6,0.3333333333333333,5,0.52,0.10954451150103321,0.06666666666666665,3784870.5264674798
4,D10,940159.0599999999,1026304.9271140776,1078.8700000000001,14414.0,1.0,744492.04,0.6105981395062314,14414,5,735.0,0.3333333333333333,0.2,0.6666666666666666,0.4,0.9333333333333333,5,0.5066666666666666,0.29287843515318396,0.3333333333333333,1062231.2981140777
4,D20,9939933.180000002,10695898.520560252,65565.44,47382.0,1.0,5259299.04,0.2490139051900519,47382,5,735.0,0.8666666666666667,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.5333333333333333,5,0.8400000000000001,0.17384539747207065,0.06666666666666665,12879227.672560252
